query_text,query_label
"The fact is God could cause you to believe anything He wants you to.  But think about it for a minute.  Would you rather have someone love you because you made them love you, or because they wanted to love you.     The responsibility is on you to love God and take a step toward Him.  He promises to be there for you, but you have to look for yourself. Those who doubt this or dispute it have not givin it a sincere effort. Simple logic arguments are folly.  If you read the Bible you will see that Jesus made fools of those who tried to trick him with ""logic"". Our ability to reason is just a spec of creation.  Yet some think it is the ultimate.  If you rely simply on your reason then you will never know more than you do now.   To learn you must accept that which you don't know.",alt_atheism
"With the Southern Baptist Convention convening this June to consider the charges that Freemasonry is incompatible with christianity, I thought the following quotes by Mr. James Holly, the Anti-Masonic Flag Carrier, would amuse you all...       The following passages are exact quotes from ""The Southern  Baptist Convention and Freemasonry"" by James L. Holly, M.D., President of Mission and Ministry To Men, Inc., 550 N 10th St., Beaumont, TX  77706.         The inside cover of the book states: ""Mission & Ministry to Men,  Inc. hereby grants permission for the reproduction of part or all of  this booklet with two provisions: one, the material is not changed and two, the source is identified."" I have followed these provisions.          ""Freemasonry is one of the allies of the Devil"" Page iv.         ""The issue here is not moderate or conservative, the issue is God and the Devil"" Page vi.""         ""It is worthwhile to remember that the formulators of public  school education in America were Freemasons"" Page 29.         ""Jesus Christ never commanded toleration as a motive for His  disciples, and toleration is the antithesis of the Christian message."" Page 30.         ""The central dynamic of the Freemason drive for world unity  through fraternity, liberty and equality is toleration. This is seen  in the writings of the 'great' writers of Freemasonry"". Page 31.         ""He [Jesus Christ] established the most sectarian of all possible  faiths."" Page 37.         ""For narrowness and sectarianism, there is no equal to the Lord  Jesus Christ"". Page 40.         ""What seems so right in the interest of toleration and its  cousins-liberty, equality and fraternity-is actually one of the  subtlest lies of the 'father of lies.'"" Page 40.         ""The Southern Baptist Convention has many churches which were  founded in the Lodge and which have corner stones dedicated by the  Lodge. Each of these churches should hold public ceremonies of  repentance and of praying the blood and the Name of the Lord Jesus  Christ over the church and renouncing the oaths taken at the  dedication of the church and/or building."" Page 53-54.      Tony   ",alt_atheism
" Right on Keith, err, Kent.      Whadda you mean, you didn't see the smiley?  /\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\   Bob Beauchaine bobbe@vice.ICO.TEK.COM   They said that Queens could stay, they blew the Bronx away, and sank Manhattan out at sea.",alt_atheism
">The fact is God could cause you to believe anything He wants you to.  >But think about it for a minute.  Would you rather have someone love >you because you made them love you, or because they wanted to >love you.  Same old bullshit. Not being given to delusions and wishful thinking I do not have the option of either loving or obeying that which I have so reason to believe.  >    The responsibility is on you to love God and take a step toward >Him.  He promises to be there for you, but you have to look for yourself. >Those who doubt this or dispute it have not givin it a sincere effort.  More bullshit. I assure you in my misguided youth I made a sincere effort. It was very painful being a rational person raised in Christian home. Many others could tell the same story. You choose not to believe anyone's experience which contradicts your smug theories.  Bill Mayne",alt_atheism
"Hello there! A few days ago I got a mail concerning bitmap-stretching from SCOTT LEATHAM @ Microsoft Redmond WA, USA. I really would like to answer back to him, but I have  lost his email-address. So if Scott or anybody that knows his email-address reads this, please mail me his address so I can answer his mail.",comp_graphics
Does anybody know about a converter from CGM to PCX or anything else more common.  I've spent some time searching the archives with no luck. Could you email me your responses.,comp_graphics
"In article <C5r9BM.2LH@mach1.wlu.ca> mart4678@mach1.wlu.ca (Phil Martin u) writes: !Chris Herringshaw (tdawson@engin.umich.edu) wrote: !: Concerning the proposed newsgroup split, I personally am not in favor of !: doing this.  I learn an awful lot about all aspects of graphics by reading !: this group, from code to hardware to algorithms.  I just think making 5 !: different groups out of this is a wate, and will only result in a few posts !: a week per group.  I kind of like the convenience of having one big forum !: for discussing all aspects of graphics.  Anyone else feel this way? !: Just curious. ! !Yes. I also like knowing where to go to ask a question without getting !hell for putting it in the wrong newsgroup.  I am also against splitting the group. The traffic will decrease on any given subject but the required net bandwidth will INCREASE because of multiply cross-postings.  I just went through this with another group I continuously read. It is now almost at the point where it is no longer worth reading.  Strongly suggest NOT doing this.  Dave Rogers",comp_graphics
">Does anyone know a program that will record keyboard sequences that I  >do in a windowed dos box? I would like to have something that starts a >telnet program and then logs me into my accounts. Windows Recorder doesn't >seem to be able to record the key sequences. > >Thanks, STeve  I think you would need a DOS macro program.  Superkey (by Borland?) comes to mind.  I don't think Windows is capable of sending keystrokes to a DOS window.  What you want to do sounds like a security problem to me, though.  Tom paladin@world.std.com",comp_ms_windows_misc
"I am having a really bothersome problem using the MSDOS prompt in Windows 3.1 to open a dos box.  When I am done with the dos box, I cant get back to windows. If I do Alt enter to shrink the box or use 'exit' to close it, the screen goes black and I have to control-alt-delete until I kill windows.  I get a couple of screens about app not responding.  I think things are still alive under the black screen because if I alt-tab to cycle through the running apps, I get flashes of text but then the black returns.  This persists even if the machine is powered on and off.  I am working with an app developed using Borland's 3.1 application frameworks and c++.  It seems to work fine.  Hardware is a 486 with 16meg ram; not on a network.  Video is a TSENG  vga.  dos 5.0.  I reinstalled windows a couple of time but the problem comes back.  I am using temporary swapping for virtual memory.  I would really REALLY appreciate any hints anyone might offer.  Thanks,  Jim Cant",comp_ms_windows_misc
"In article <1993Apr28.053700.12929@lugb.latrobe.edu.au> cs416530@lux.latrobe.edu.au (Matthew I Gillard) writes: >Subject: Boot-up sometimes fails. >From: cs416530@lux.latrobe.edu.au (Matthew I Gillard) >Date: Wed, 28 Apr 1993 05:37:00 GMT >Sometimes when I boot up windows 3.1, after the windows logo comes up it han >gs, I am using Dos 6 and doublespace, and a 5 meg temp swap file on an >uncompressed drive. >But when I press the reset button on the computer,  windows boots up >fine... Why is this??? is it dos 6? >--  >----------------------------------------------------------------------------- >Matthew Gillard,                    | Blessed are they who run around >Computer Systems Engineering,       | in circles, for they shall be  >La Trobe University,                | known as wheels.  Dos 5 never used the area $E000 - $EFFF, as well as some others. If you have  any cards that use this are (such as a LAN card), you might get this  problem.  Use the X=$E000-$EFFF in your EMM386.EXE line in config.sys. If you run  MemMaker then instruct it retain inclusions and exclusions.",comp_ms_windows_misc
